id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2023-01-27T11:42:10;Loop;CANCELLED;PAYPAL;2023-01-27T06:02:35;22604
2;calculating;2023-01-27T12:10:33;haptic 1080p;ISSUED;PAYPAL;2023-01-26T23:24:13;10489
3;national Frozen Berkshire;2023-01-27T12:25:23;Account Borders Home;PAID;CREDIT_CARD;2023-01-27T03:08:14;36325
4;monitor;2023-01-26T22:27:59;parse intuitive Division;CANCELLED;PAYPAL;2023-01-27T00:03:00;13687
5;synergy transmitting;2023-01-26T22:30:14;parse Gloves;ISSUED;PAYPAL;2023-01-27T07:06:52;92472
6;function;2023-01-27T03:23:42;Fresh;CANCELLED;CASH_ON_DELIVERY;2023-01-27T14:30:43;26944
7;Maine;2023-01-27T13:50:05;RAM;ISSUED;PAYPAL;2023-01-27T18:51:57;32458
8;Analyst Agent;2023-01-27T17:44:47;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2023-01-27T14:46:29;79389
9;Salad;2023-01-26T23:53:29;Gorgeous;ISSUED;CREDIT_CARD;2023-01-27T08:39:53;62169
10;Pants Wooden Intuitive;2023-01-27T09:17:26;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2023-01-27T05:12:03;58737
