id;placed_date;status;code;invoice_id;customer
1;2023-01-27T11:13:26;COMPLETED;Electronics;57858;calculate
2;2023-01-27T09:57:16;CANCELLED;one-to-one Corporate;74608;Steel
3;2023-01-27T01:24:43;CANCELLED;cross-platform Health;12251;real-time
4;2023-01-27T04:11:28;CANCELLED;Hat;10576;Square revolutionize
5;2023-01-27T11:14:57;CANCELLED;implement Implementation;23738;Bike
6;2023-01-27T02:26:18;CANCELLED;Industrial Checking Right-sized;52549;models
7;2023-01-27T02:38:26;PENDING;Implemented;30578;Home
8;2023-01-27T06:37:27;CANCELLED;Handmade Automotive Principal;60178;success Liaison Riel
9;2023-01-27T11:25:13;COMPLETED;National Program;95175;neural hacking
10;2023-01-27T11:18:13;COMPLETED;hack Shirt Walks;57700;full-range back
